Type,Value,FAM_Cq1,FAM_Cq2,HEX_Cq1,HEX_Cq2
Spore,10000,26.98,27.1,31.19,31.4
Spore,10000,25.58,26.14,30.91,31.57
Spore,10000,25.52,25.68,31.6,31.59
Spore,5000,29.43,29.41,31.52,31.86
Spore,5000,29.66,29.59,32.11,31.81
Spore,5000,27.22,27.28,31.06,31.61
Spore,1000,29.21,29.23,31.88,31.66
Spore,1000,32.71,31.6,31.98,32.14
Spore,1000,31.46,32.24,31.23,32.05
Spore,500,30.77,31.23,31.27,31.78
Spore,500,31.47,31.32,31.79,32.12
Spore,500,31.15,31.07,31.59,32.23
Spore,100,33.63,33.86,31.7,31.09
Spore,100,34.33,33.76,31.65,32.27
Spore,100,33.48,33.12,31.95,31.79
Spore,50,35.29,36.21,31.41,32.13
Spore,50,36.15,37.38,31.42,31.49
Spore,50,36.16,36.28,31.54,32.05
Spore,10,,36.83,31.68,31.53
Spore,10,37.5,37.65,32.05,31.63
Spore,10,,,31.97,31.76
Rotorod,10000,27.07,26.96,30.1,30.16
Rotorod,10000,27.22,27.19,29.98,29.79
Rotorod,10000,25.24,25.7,31.24,31.96
Rotorod,5000,28.79,29,29.94,29.73
Rotorod,5000,30.94,31.1,29.98,29.96
Rotorod,5000,31.7,31.47,29.8,29.88
Rotorod,1000,31.75,31.65,30.13,30
Rotorod,1000,32.45,31.99,29.75,29.84
Rotorod,1000,32.37,32.4,29.99,29.71
Rotorod,500,32.79,32.6,29.89,29.87
Rotorod,500,32.51,32.27,29.86,30.16
Rotorod,500,32.36,32.29,30.08,30.1
Rotorod,100,37.74,36.38,30.11,29.94
Rotorod,100,35.16,34.6,29.71,29.86
Rotorod,100,35.65,34.45,30.03,31.19
Rotorod,50,38.53,39.93,29.88,29.84
Rotorod,50,38.51,37.01,29.87,29.8
Rotorod,50,38.39,36.16,31.43,31.66
Rotorod,10,,36.32,30.13,30.09
Rotorod,10,,38.83,30.1,30.11
Rotorod,10,,,30.11,31.98
Burkard,10000,28.6,29.17,31.47,31.51
Burkard,10000,27.39,27.44,31.27,31.51
Burkard,10000,26.92,27.16,31.09,31.39
Burkard,5000,28.1,28.86,31.08,31.5
Burkard,5000,28.02,28.11,31.35,31.38
Burkard,5000,29.03,29.33,31,31.41
Burkard,1000,31.4,31.72,31.24,31.93
Burkard,1000,30.35,31.06,31.54,31.66
Burkard,1000,31.15,31.57,31.05,31.56
Burkard,500,33.01,33.13,31.31,31.36
Burkard,500,32.37,33.37,31.22,31.59
Burkard,500,34.99,37.52,31.08,31.42
Burkard,100,36.12,36.2,31.61,32.06
Burkard,100,35.4,35.45,31.56,31.69
Burkard,100,35.32,35.49,31.27,31.32
Burkard,50,36.82,37.26,31.23,31.36
Burkard,50,34.99,37.52,31.08,31.42
Burkard,50,35.72,36.86,31.02,31.03